place_id,name,city,query_category,source_query,primary_type,address,latitude,longitude,rating,user_rating_count,price_level,google_maps_uri,is_food,is_tourist_spot
ChIJpQvTG0uxbTkRDLLMHlNdDoY,Hawa Mahal,Jaipur,tourist_spot,best tourist attractions,castle,"Hawa Mahal Rd, Badi Choupad, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.9240458,75.8267144,4.5,165635,,https://maps.google.com/?cid=9659760862336692748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJwbAghgu0bTkRYHt9ATEVgEQ,The City Palace,Jaipur,tourist_spot,best tourist attractions,historical_place,"Gangori Bazaar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.925794300000003,75.8236714,4.4,58993,,https://maps.google.com/?cid=4935968491820645216&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJx0lfsbGxbTkRgVOhxJ7EGbw,Jaigarh Fort,Jaipur,tourist_spot,best tourist attractions,museum,"Devisinghpura, Amer, Jaipur, Rajasthan 302028",26.981605199999997,75.8447917,4.5,31964,,https://maps.google.com/?cid=13554080739731002241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJlXJ26RuxbTkR0qsToxFP05c,Jal Mahal,Jaipur,tourist_spot,best tourist attractions,historical_landmark,"Jal Mahal, Amer, Jaipur, Rajasthan 302002",26.9534584,75.84612349999999,4.2,39943,,https://maps.google.com/?cid=10940174856982080466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJaXD1f0yxbTkRvquNoSkESuk,Jantar Mantar,Jaipur,tourist_spot,best tourist attractions,,"Malve Nagar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.924761999999998,75.82455999999999,4.5,42875,,https://maps.google.com/?cid=16810253135964384190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJkzbjKhm3bTkRNiCT5-dA6vU,Sisodia Rani ka Bagh,Jaipur,tourist_spot,best tourist attractions,garden,"VVX5+QF9, Agra Rd, Ghat Ki Guni, Jaipur, Rajasthan 302003",26.8994218,75.8587309,4.4,6476,,https://maps.google.com/?cid=17720047048609439798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ34tpDCK0bTkRQcEb5xYz9Po,Amar Jawan Jyoti,Jaipur,tourist_spot,best tourist attractions,park,"VQWX+6XW, Jan Path, Jaipur Nagar Nigam, Lalkothi, Jaipur, Rajasthan 302015",26.8956032,75.7999567,4.7,11696,,https://maps.google.com/?cid=18083134577259036993&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ-w3Sy1qwbTkRK34UR2ffIWI,Amber Palace,Jaipur,tourist_spot,best tourist attractions,castle,"Devisinghpura, Amer, Jaipur, Rajasthan 302001",26.9854865,75.8513454,4.6,171891,,https://maps.google.com/?cid=7071178524615540267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJcXc6vH2xbTkRbcIu9i9aSk8,"Sheesh Mahal, Amber Fort",Jaipur,tourist_spot,best tourist attractions,tourist_attraction,"JAIGARH FORT, Devisinghpura, Amber, Jaipur, Rajasthan 302028",26.9857093,75.8506434,4.6,6224,,https://maps.google.com/?cid=5713478239313117805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ0fNH81yxbTkRi56uF-amqgo,Nahargarh Fort,Jaipur,tourist_spot,best tourist attractions,castle,"Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302001",26.9401659,75.8170373,4.5,78141,,https://maps.google.com/?cid=768610193590099595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
