place_id,place_name,city,matched_alias,article_title,article_url,source,published_date,incident_keywords_found,positive_keywords_found,has_incident_signal,has_positive_signal,created_at
ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai,Mumbai,gateway,Buddha Purnima 2024 : Gateway of India Moonlit View,https://www.newkerala.com/news/a/mumbais-gateway-india-shines-under-moonlight-buddha-purnima-578.htm,newkerala.com,20260501T221500Z,,,False,False,2026-07-05T13:29:10.449388+00:00
ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai,Mumbai,gateway,Mumbai Gateway of India shines under moonlight on Buddha Purnima evening,http://www.arabherald.com/news/279024655/mumbai-gateway-of-india-shines-under-moonlight-on-buddha-purnima-evening,arabherald.com,20260502T010000Z,,,False,False,2026-07-05T13:29:10.450203+00:00
ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai,Mumbai,gateway,Mumbai Gateway of India shines under moonlight on Buddha Purnima evening,http://www.calcuttanews.net/news/279024655/mumbai-gateway-of-india-shines-under-moonlight-on-buddha-purnima-evening,calcuttanews.net,20260502T023000Z,,,False,False,2026-07-05T13:29:10.450302+00:00
ChIJS46gkcvH5zsRw4QTGGGMQBA,R CITY,Mumbai,r city,"Ashwini Bhide BMC News | मुंबई स्वच्छतेसाठी  वॉर रूम , आयुक्त आश्विनी भिडे यांचे निर्देश",https://www.loksatta.com/mumbai/ashwini-bhide-bmc-commissioner-city-cleanliness-war-room-solid-waste-management-review-meeting-mumbai-print-news-ocd-94-5825966/,loksatta.com,20260409T150000Z,,,False,False,2026-07-05T13:29:10.468496+00:00
ChIJJ7H46sPR5zsRU5I-VRAm50Q,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,csmvs,"CSMVS Mumbai To Celebrate World Heritage Day 2026 With Madhubani , Kathak , Handloom And Heritage Trails On April 18",https://www.freepressjournal.in/mumbai/csmvs-mumbai-to-celebrate-world-heritage-day-2026-with-madhubani-kathak-handloom-and-heritage-trails-on-april-18,freepressjournal.in,20260415T173000Z,ban,heritage,True,True,2026-07-05T13:29:10.564794+00:00
ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah,Mumbai,had,"  Best dining experience Ive had : Vikas Khanna names his favourite Indian restaurant . Check its must - try Dal Dhokli , Shrikhand Puri , location and cost",https://economictimes.indiatimes.com/news/new-updates/best-dining-experience-ive-had-vikas-khanna-names-his-favourite-indian-restaurant-soam-check-its-must-try-dal-dhokli-shrikhand-puri-location-and-cost/articleshow/131136103.cms,economictimes.indiatimes.com,20260516T121500Z,,best,False,True,2026-07-05T13:29:10.705597+00:00
ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah,Mumbai,had,"Ate the same biryani as relatives , then had watermelon at night : Mumbai family of four dies within hours of dinner . Police probe what turned deadly",https://economictimes.indiatimes.com/news/new-updates/ate-the-same-biryani-as-relatives-then-had-watermelon-at-night-mumbai-family-of-four-dies-within-hours-of-dinner-police-probe-what-turned-deadly/articleshow/130557337.cms,economictimes.indiatimes.com,20260427T153000Z,,,False,False,2026-07-05T13:29:10.707471+00:00
ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah,Mumbai,had,"Calvin Harris Mumbai Concert Gets Overshadowed By Venue Complaints , No Booze Stations Leave Fans Disappointed :  Worst Venue Ever  ",https://www.newsx.com/entertainment/calvin-harris-mumbai-concert-gets-overshadowed-by-venue-complaints-no-booze-stations-leave-fans-disappointed-worst-venue-ever-201456/,newsx.com,20260419T113000Z,,,False,False,2026-07-05T13:29:10.708482+00:00
ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah,Mumbai,had,"Ashadhi Wari 2026 : आषाढी वारीत वारकऱ्यांसाठी मोठी तयारी ! पालखी मार्गावर स्वच्छता , सुरक्षा , आरोग्य सुविधा ; सुनेत्रा पवारांचे निर्देश",https://prahaar.in/2026/06/13/ashadhi-wari-2026-major-preparations-for-warkaris-sunetra-pawar-issues-directives-regarding-cleanliness-security-and-health-facilities-along-the-palkhi-route/,prahaar.in,20260613T061500Z,,,False,False,2026-07-05T13:29:10.709568+00:00
ChIJoel9wFix5zsREK_IyV3zujI,Water Kingdom by EsselWorld,Mumbai,wke,Shimla Tourism Surges : 90 % Weekend Hotel Bookings,https://www.newkerala.com/news/a/shimla-tourist-rush-surges-as-weekend-bookings-hit-560.htm,newkerala.com,20260510T090000Z,,,False,False,2026-07-05T13:29:10.714439+00:00
ChIJoel9wFix5zsREK_IyV3zujI,Water Kingdom by EsselWorld,Mumbai,wke,Buddha Purnima 2024 : Gateway of India Moonlit View,https://www.newkerala.com/news/a/mumbais-gateway-india-shines-under-moonlight-buddha-purnima-578.htm,newkerala.com,20260501T221500Z,,,False,False,2026-07-05T13:29:10.721370+00:00
ChIJCTBgusPR5zsR9jlWzqv4C3Y,Jehangir Art Gallery,Mumbai,jag,Delhi vs Mumbai : Which City Has a Higher Population Density ? ,https://www.jagranjosh.com/general-knowledge/delhi-vs-mumbai-which-city-has-a-higher-population-density-1820009034-1,jagranjosh.com,20260519T121500Z,,,False,False,2026-07-05T13:29:10.807905+00:00
ChIJCTBgusPR5zsR9jlWzqv4C3Y,Jehangir Art Gallery,Mumbai,jag,Which City Is Known As The Financial Capital Of India ? ,https://www.jagranjosh.com/general-knowledge/which-city-is-known-as-the-financial-capital-of-india-1820008486-1,jagranjosh.com,20260503T203000Z,,,False,False,2026-07-05T13:29:10.808395+00:00
ChIJCTBgusPR5zsR9jlWzqv4C3Y,Jehangir Art Gallery,Mumbai,jag,India 7 New Bullet Train Corridors : Cities That Will Get High - Speed Rail Connectivity,https://www.jagranjosh.com/general-knowledge/india-7-new-bullet-train-corridors-cities-that-will-get-highspeed-rail-connectivity-1820010137-1,jagranjosh.com,20260627T080000Z,,,False,False,2026-07-05T13:29:10.809929+00:00
