place_id,place_name,city,news_count,incident_count,positive_count,news_risk_level,news_signal_score,latest_article_title,latest_article_url
ChIJ-w3Sy1qwbTkRK34UR2ffIWI,Amber Palace,Jaipur,0,0,0,Low,0,,
ChIJpQvTG0uxbTkRDLLMHlNdDoY,Hawa Mahal,Jaipur,0,0,0,Low,0,,
ChIJz2S0q9C1bTkRr_3JFqQKREM,World Trade Park,Jaipur,0,0,0,Low,0,,
ChIJ0fNH81yxbTkRi56uF-amqgo,Nahargarh Fort,Jaipur,0,0,0,Low,0,,
ChIJXyn5OrC2bTkRaGk8EzNDuwU,Albert Hall Museum,Jaipur,0,0,0,Low,0,,
ChIJwbAghgu0bTkRYHt9ATEVgEQ,The City Palace,Jaipur,0,0,0,Low,0,,
ChIJaXD1f0yxbTkRvquNoSkESuk,Jantar Mantar,Jaipur,0,0,0,Low,0,,
ChIJx0lfsbGxbTkRgVOhxJ7EGbw,Jaigarh Fort,Jaipur,0,0,0,Low,0,,
ChIJV9GWIae2bTkR3tu5UFSOwk0,Central Park,Jaipur,0,0,0,Low,0,,
ChIJseuwKkmxbTkRBW83y7v7Hto,Jai Niwas Garden,Jaipur,0,0,0,Low,0,,
ChIJlXJ26RuxbTkR0qsToxFP05c,Jal Mahal,Jaipur,0,0,0,Low,0,,
ChIJqfRXxcO2bTkRYSS5F1T1Ev4,Pink Square Mall,Jaipur,0,0,0,Low,0,,
ChIJ34tpDCK0bTkRQcEb5xYz9Po,Amar Jawan Jyoti,Jaipur,0,0,0,Low,0,,
ChIJO-MTKTy3bTkRSl7cYKa0gK0,Tapri Central,Jaipur,0,0,0,Low,0,,
ChIJc8vynqazbTkRAxRKHU5VK4I,Cosmo Creation,Jaipur,0,0,0,Low,0,,
ChIJI0QOpK22bTkRh97plqjaGLQ,Ajmeri Gate,Jaipur,0,0,0,Low,0,,
ChIJ-3fmvEa1bTkRlQ2wekTzFiQ,Gulab Garh,Jaipur,0,0,0,Low,0,,
ChIJn-pcyea3bTkR4K-wjKseidE,Masala Chowk,Jaipur,0,0,0,Low,0,,
ChIJW5u7qba2bTkRrl-zFRz7ZN0,Sanganeri Gate,Jaipur,0,0,0,Low,0,,
ChIJWfw4aTDJbTkR2uANiQm7B-Y,CAFE HAVANA JAIPUR,Jaipur,0,0,0,Low,0,,
ChIJ67xPmiGwbTkROPWfDp9m0rQ,Nahargarh Biological Park,Jaipur,0,0,0,Low,0,,
ChIJcXc6vH2xbTkRbcIu9i9aSk8,"Sheesh Mahal, Amber Fort",Jaipur,0,0,0,Low,0,,
ChIJxUfgi0GxbTkR5Vqeib76O00,Gaitor Ki Chhatriyan,Jaipur,0,0,0,Low,0,,
ChIJ2-vgqE2xbTkRS1ab-9TqZaM,Isarlat Sargasooli,Jaipur,0,0,0,Low,0,,
ChIJQzuEigK0bTkRnCgFaNHJOiU,Thali And More,Jaipur,0,0,0,Low,0,,
ChIJhd3BQEmxbTkRklY1_w4_Qfk,Govindam Retreat,Jaipur,0,0,0,Low,0,,
ChIJocQxYPyzbTkRTWbMaHlsSyM,Pakwaan Candlelight Dinner Restaurant,Jaipur,0,0,0,Low,0,,
ChIJCSKP80yxbTkRAKT8rQW0iOw,Tripolia Gate,Jaipur,0,0,0,Low,0,,
ChIJERP0VLG2bTkRrVzfUlilTMg,Handi restaurant jaipur,Jaipur,0,0,0,Low,0,,
