place_id,name,city_x,query_category,source_query,primary_type,address,latitude,longitude,rating,user_rating_count,price_level,google_maps_uri,is_food,is_tourist_spot,city_key,place_name,city_y,news_count,incident_count,positive_count,news_risk_level,news_signal_score,latest_article_title,latest_article_url,city,weather_risk_level,primary_weather_risk,lookahead_hours,rain_risk_level,heat_risk_level,wind_risk_level,air_quality_risk_level,uv_risk_level,visibility_risk_level,rain_mm_next_window,max_rain_probability,max_apparent_temperature_c,max_wind_gust_kmph,max_us_aqi,max_pm25,max_pm10,max_uv_index,min_visibility_m,travel_advice,created_at,outdoor_weather_sensitive,simple_popularity_score,news_penalty,weather_penalty,news_weather_adjusted_score
ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai,Mumbai,tourist_spot,best tourist attractions,historical_landmark,"Apollo Bandar, Colaba, Mumbai, Maharashtra",18.921984100000003,72.83465430000001,4.6,385130,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14342317363051655996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Gateway Of India Mumbai,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,59.16215854962083,0.0,0.22,58.94215854962083
ChIJ-w3Sy1qwbTkRK34UR2ffIWI,Amber Palace,Jaipur,tourist_spot,best tourist attractions,castle,"Devisinghpura, Amer, Jaipur, Rajasthan 302001",26.985486499999993,75.8513454,4.6,171906,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=7071178524615540267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Amber Palace,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,55.45166099470076,0.0,0.22,55.23166099470076
ChIJpQvTG0uxbTkRDLLMHlNdDoY,Hawa Mahal,Jaipur,tourist_spot,best tourist attractions,castle,"Hawa Mahal Rd, Badi Choupad, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.9240458,75.8267144,4.5,165682,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=9659760862336692748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Hawa Mahal,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,54.080242213950555,0.0,0.22,53.860242213950556
ChIJn4u374fI5zsRCkcZMZzJnZ8,Phoenix Marketcity,Mumbai,tourist_spot,shopping markets,shopping_mall,"Lal Bahadur Shastri Marg, Patelwadi.Kurla, Kurla West, Kurla, Mumbai, Maharashtra 400070",19.086379499999996,72.88897739999999,4.5,121612,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=11501570696049936138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Phoenix Marketcity,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,52.68869617812614,0.0,0.22,52.468696178126145
ChIJgZ_KU-_R5zsRYXNnsDYf9mc,Marine Drive,Mumbai,tourist_spot,best tourist attractions,tourist_attraction,"WRJC+3QJ, Nariman Point, Mumbai, Maharashtra 400021",18.9302074,72.8218856,4.7,71243,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=7491209349925663585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Marine Drive,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,52.51716965507578,0.0,0.22,52.297169655075784
ChIJz2S0q9C1bTkRr_3JFqQKREM,World Trade Park,Jaipur,tourist_spot,shopping markets,shopping_mall,"Jawahar Lal Nehru Marg, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017",26.852988900000003,75.80486909999999,4.6,87892,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=4847010798830747055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,World Trade Park,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,52.36582704494018,0.0,0.22,52.145827044940184
ChIJG8VDYIzO5zsRqlIdGnKIkkY,Phoenix Palladium,Mumbai,tourist_spot,shopping markets,shopping_mall,"462, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",18.994459,72.82503099999998,4.5,94946,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=5085276952900489898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Phoenix Palladium,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,51.57483354074098,0.0,0.22,51.354833540740984
ChIJ3zuquCfO5zsRG40hAwdLQyE,Chhatrapati Shivaji Maharaj Terminus,Mumbai,tourist_spot,popular places to visit,train_station,"Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001",18.9398446,72.83544749999999,4.5,93009,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=2396841920180620571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Chhatrapati Shivaji Maharaj Terminus,Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,51.482080319564304,0.0,0.22,51.262080319564305
ChIJiXb7WM_H5zsReEZQOfhJEZg,Snow Kingdom (Mumbai),Mumbai,tourist_spot,best tourist attractions,,"R City Mall, Lal Bahadur Shastri Marg, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",19.0998928,72.91588039999998,4.7,50574,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=10957620698831406712&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,mumbai,Snow Kingdom (Mumbai),Mumbai,0.0,0.0,0.0,Low,0.0,,,Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00,True,50.90669951156895,0.0,0.22,50.68669951156895
ChIJ0fNH81yxbTkRi56uF-amqgo,Nahargarh Fort,Jaipur,tourist_spot,best tourist attractions,castle,"Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302001",26.9401659,75.8170373,4.5,78157,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=768610193590099595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Nahargarh Fort,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,50.69919464033821,0.0,0.22,50.479194640338214
ChIJXyn5OrC2bTkRaGk8EzNDuwU,Albert Hall Museum,Jaipur,tourist_spot,best tourist attractions,museum,"Ram Niwas Garden, Ashok Nagar, Jaipur, Rajasthan 302004",26.9115849,75.81941200000001,4.5,72790,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=412997677479651688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True,jaipur,Albert Hall Museum,Jaipur,0.0,0.0,0.0,Low,0.0,,,Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00,True,50.379064200759515,0.0,0.22,50.159064200759516
